# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	32367
#@/user_id	Mac
a 	啊	c=393 d=1.26882 t=31923
wo ke yi 	我可以	c=16 d=1.91851 t=31857
wo ke yi xiang 	我可以想	c=1 d=1 t=8034
wo ken ding 	我肯定	c=5 d=0.10028 t=19709
wo kuai 	我快	c=1 d=1 t=19397
wo kun zai 	我困在	c=1 d=1 t=30204
wo la 	我啦	c=1 d=1 t=16825
wo lai dao 	我来到	c=1 d=1 t=10732
wo le 	我了	c=6 d=1 t=28421
wo lei 	我累	c=1 d=1 t=32185
wo lei le 	我累了	c=1 d=1 t=20827
wo lian 	我连	c=9 d=1 t=26395
wo lian dian 	我连点	c=1 d=1 t=22971
wo lian pi 	我脸皮	c=1 d=1 t=15670
wo ma 	我吗	c=4 d=1 t=28835
wo ma 	我骂	c=1 d=1 t=3712
wo ma ren 	我骂人	c=1 d=1 t=770
wo mei 	我没	c=11 d=1 t=30913
wo mei ban fa 	我没办法	c=1 d=1 t=11706
wo mei ci 	我每次	c=3 d=1 t=11724
wo mei dao de 	我没道德	c=1 d=1 t=12339
wo mei de 	我没的	c=1 d=1 t=2385
wo mei ge yue 	我每个月	c=2 d=1.01284 t=1712
wo mei guai 	我没怪	c=1 d=1 t=20095
wo mei kong 	我没空	c=1 d=1 t=12108
wo mei ni 	我没你	c=1 d=1 t=24094
wo mei qian 	我没钱	c=3 d=1.00001 t=28675
wo mei ren 	我没人	c=2 d=1 t=31283
wo mei shen me 	我没什么	c=1 d=1 t=4926
wo mei tian 	我每天	c=7 d=1.04184 t=30936
wo mei xiang dao 	我没想到	c=1 d=1 t=13003
wo mei ya li 	我没压力	c=1 d=1 t=25004
wo mei you 	我没有	c=14 d=1.05921 t=26527
wo mei zuo guo 	我没做过	c=1 d=1 t=12294
wo men 	我们	c=74 d=1.52684 t=32367
wo mian dui 	我面对	c=1 d=1 t=30475
wo ming bai 	我明白	c=1 d=1 t=24203
wo ming ming 	我明明	c=1 d=1 t=27828
wo ming xian 	我明显	c=1 d=1 t=28021
wo ming zi 	我名字	c=1 d=1 t=7941
wo mu qian 	我目前	c=3 d=1 t=28793
wo na 	我哪	c=1 d=1 t=30108
wo na 	我那	c=4 d=1 t=20699
wo na gan 	我哪敢	c=1 d=1 t=15909
wo na ge 	我那个	c=1 d=1 t=13226
wo na lai 	我哪来	c=1 d=1 t=26284
wo na li 	我哪里	c=4 d=1 t=30603
wo na neng 	我哪能	c=1 d=1 t=8509
wo na pa 	我哪怕	c=3 d=1 t=24153
wo na shi 	我那是	c=1 d=1 t=8055
wo na shi hou 	我那时候	c=1 d=1 t=5244
wo na tian 	我哪天	c=3 d=1.00002 t=12646
wo na xie 	我那些	c=3 d=1 t=27415
wo na you 	我哪有	c=7 d=1 t=28784
wo na zhi dao 	我那知道	c=1 d=1 t=12573
wo nan bu cheng 	我难不成	c=1 d=1 t=13319
wo nan dao 	我难道	c=2 d=1 t=31673
wo nan shou 	我难受	c=4 d=1 t=18765
wo ne 	我呢	c=14 d=1 t=22110
wo neng 	我能	c=8 d=1.00045 t=31273
wo neng bu neng 	我能不能	c=3 d=1 t=23748
wo neng gou 	我能够	c=3 d=0.1 t=28087
wo neng wen xia 	我能问下	c=1 d=1 t=21100
wo neng za ban 	我能咋办	c=1 d=1 t=24468
wo ning yuan 	我宁愿	c=4 d=1 t=24718
wo nu li 	我努力	c=1 d=1 t=10722
wo pa 	我怕	c=9 d=1 t=27965
wo pi qi 	我脾气	c=1 d=1 t=4150
wo ping gu guo 	我评估过	c=1 d=1 t=397
wo qi lai 	我起来	c=1 d=1 t=27279
wo qi ma 	我起码	c=3 d=1 t=30218
wo qi shi 	我其实	c=22 d=1 t=28034
wo qian 	我钱	c=2 d=1 t=12308
wo qing xu 	我情绪	c=1 d=1 t=1718
wo qu 	我去	c=6 d=1 t=31803
wo qu bu liao 	我去不了	c=1 d=1 t=11747
wo qu le 	我去了	c=2 d=1 t=24243
wo quan bu 	我全部	c=1 d=1 t=27254
wo que shi 	我确实	c=9 d=1 t=25899
wo rang 	我让	c=1 d=1 t=11830
wo ren 	我忍	c=1 d=1 t=10787
wo ren sheng 	我人生	c=1 d=1 t=4457
wo ren shi 	我认识	c=1 d=1 t=17664
wo ren shou 	我忍受	c=1 d=1 t=25636
wo ru guo 	我如果	c=5 d=1 t=31402
wo ru guo you 	我如果有	c=1 d=1 t=1436
wo shang 	我上	c=0 d=0.1 t=28927
wo shang na li 	我上哪里	c=1 d=1 t=28928
wo shen me 	我什么	c=6 d=1.12853 t=26487
wo shen shang 	我身上	c=4 d=1 t=26117
wo shen ti 	我身体	c=3 d=1.11533 t=31774
wo shen zhi 	我甚至	c=4 d=1.27804 t=31479
wo sheng huo 	我生活	c=1 d=1 t=19571
wo sheng zai 	我生在	c=1 d=1 t=16958
wo shi 	我是	c=100 d=1.15885 t=32061
wo shi bu shi ge 	我是不是个	c=1 d=1 t=27331
wo shi ge 	我是个	c=15 d=1 t=30564
wo shi shuo 	我是说	c=1 d=1 t=22284
wo shi yao 	我是要	c=2 d=1 t=31990
wo shi zai 	我是在	c=1 d=1 t=4022
wo shou fei 	我收费	c=1 d=1 t=22584
wo shu yu 	我属于	c=1 d=1 t=17618
wo shuang 	我爽	c=1 d=1 t=10259
wo shuo 	我说	c=6 d=1 t=23369
wo shuo bu ding 	我说不定	c=2 d=1 t=26106
wo shuo chu qu 	我说出去	c=1 d=1 t=15973
wo shuo le 	我说了	c=1 d=1 t=3041
wo si 	我死	c=1 d=1 t=12674
wo si le 	我死了	c=3 d=1.40252 t=11940
wo sui ran 	我虽然	c=11 d=1 t=21416
wo suo 	我所	c=0 d=0.1 t=3259
wo suo you de 	我所有的	c=1 d=1 t=3260
wo tai 	我太	c=1 d=1 t=18747
wo tai huai le 	我太坏了	c=1 d=1 t=7633
wo tai nan 	我太难	c=1 d=1 t=19337
wo tian tian 	我天天	c=2 d=1.00008 t=15788
wo ting hua 	我听话	c=1 d=1 t=4224
wo tong ku 	我痛苦	c=1 d=1 t=30574
wo tou teng 	我头疼	c=1 d=1 t=14159
wo tou teng de 	我头疼的	c=1 d=1 t=4635
wo wan dian 	我晚点	c=1 d=1 t=29641
wo wan quan 	我完全	c=1 d=1 t=4486
wo wei shen me 	我为什么	c=9 d=1 t=27734
wo wei yi 	我唯一	c=3 d=1.04832 t=25955
wo wu fa 	我无法	c=5 d=1.31822 t=20693
wo wu fei 	我无非	c=1 d=1 t=24514
wo wu suo wei 	我无所谓	c=2 d=1 t=28100
wo xi huan 	我喜欢	c=16 d=1 t=31021
wo xi wang 	我希望	c=1 d=1 t=31610
wo xian zai 	我现在	c=26 d=1.00099 t=30482
wo xiang 	我像	c=4 d=1 t=26302
wo xiang 	我想	c=21 d=1 t=31066
wo xiang ge 	我像个	c=1 d=1 t=25172
wo xiang guo 	我想过	c=1 d=1 t=18431
wo xiang lai 	我向来	c=1 d=1 t=8335
wo xiang le xiang 	我想了想	c=2 d=1 t=27813
wo xiang yao 	我想要	c=1 d=1 t=14199
wo xiang zou 	我想走	c=1 d=1 t=13416
wo xiao shi hou 	我小时候	c=1 d=1 t=16544
wo xie 	我写	c=2 d=1.83527 t=3291
wo xin xin ku ku 	我辛辛苦苦	c=1 d=1 t=22160
wo xing 	我幸	c=1 d=1 t=10668
wo xing ge 	我性格	c=1 d=1 t=10655
wo xu yao 	我需要	c=4 d=1.00005 t=31963
wo ya 	我呀	c=2 d=0.10095 t=26160
wo yan li 	我眼里	c=1 d=0.161115 t=3631
wo yao 	我要	c=42 d=1.67032 t=32252
wo yao bu 	我要不	c=1 d=1 t=3639
wo yao bu kao 	我要不靠	c=1 d=1 t=21872
wo yao bu shi 	我要不是	c=1 d=1 t=17974
wo yao de 	我要的	c=1 d=0.100001 t=7162
wo yao de shi 	我要的是	c=2 d=1.25795 t=7434
wo yao me 	我要么	c=2 d=1.00644 t=15477
wo yao qu 	我要去	c=7 d=1 t=31335
wo yao shi 	我要是	c=19 d=1.00002 t=30330
wo yao you 	我要有	c=2 d=1 t=25531
wo ye 	我也	c=85 d=1.89794 t=32336
wo ye bu 	我也不	c=0 d=0.142741 t=814
wo ye bu dan xin 	我也不担心	c=1 d=1 t=815
wo ye bu hui 	我也不会	c=1 d=1 t=3949
wo ye bu ke neng 	我也不可能	c=1 d=1 t=22274
wo ye bu shi 	我也不是	c=4 d=1 t=29370
wo ye bu tiao 	我也不挑	c=1 d=1 t=645
wo ye bu xiang 	我也不想	c=2 d=1.46767 t=1031
wo ye bu xu yao 	我也不需要	c=1 d=1 t=30965
wo ye hui 	我也会	c=1 d=1 t=20442
wo ye mei 	我也没	c=3 d=1 t=25494
wo ye mei dao 	我也没到	c=1 d=1 t=11240
wo ye mei you 	我也没有	c=2 d=1 t=20363
wo ye shi 	我也是	c=9 d=1 t=31918
wo ye shi ge 	我也是个	c=1 d=1 t=24590
wo ye tou teng 	我也头疼	c=1 d=1 t=22902
wo ye xiang 	我也想	c=4 d=1 t=20543
wo ye xu yao 	我也需要	c=1 d=1 t=5632
wo ye yao 	我也要	c=1 d=1 t=3487
wo ye you 	我也有	c=1 d=1 t=12362
wo ye zhi dao 	我也知道	c=1 d=1 t=4247
wo yi 	我一	c=0 d=0.1 t=4281
wo yi dian 	我一点	c=2 d=1 t=20734
wo yi fen qian 	我一份钱	c=1 d=1 t=31470
wo yi ge 	我一个	c=4 d=1.51944 t=30814
wo yi ge ren 	我一个人	c=7 d=1.00022 t=28352
wo yi ge zai 	我一个在	c=1 d=1 t=25434
wo yi jing 	我已经	c=18 d=1.17189 t=31581
wo yi jing shuo le 	我已经说了	c=1 d=1 t=25374
wo yi kai shi 	我一开始	c=2 d=1.00995 t=5204
wo yi qian 	我以前	c=23 d=1 t=29327
wo yi ran 	我依然	c=1 d=1 t=26203
wo yi tian 	我一天	c=1 d=1 t=30300
wo yi xin 	我一心	c=1 d=1 t=6214
wo yi zhi 	我一直	c=12 d=1.00005 t=26714
wo yin hang ka 	我银行卡	c=1 d=1 t=26426
wo yin ren 	我隐忍	c=1 d=1 t=4019
wo ying gai 	我应该	c=1 d=1 t=17904
wo yong 	我用	c=0 d=0.1 t=7990
wo yong le 	我用了	c=1 d=1 t=7991
wo yong you 	我拥有	c=1 d=1 t=11129
wo you 	我又	c=28 d=1.42396 t=31756
wo you 	我有	c=9 d=1.99005 t=29158
wo you bu shi 	我又不是	c=4 d=1 t=24617
wo you dian 	我有点	c=1 d=1 t=21281
wo you mei you 	我又没有	c=1 d=1 t=11156
wo you shen me 	我有什么	c=2 d=1 t=24761
wo you shi hou 	我又时候	c=2 d=1 t=6303
wo you yao 	我又要	c=1 d=1 t=17387
wo you yi tian 	我有一天	c=1 d=1 t=13402
wo you zhi 	我幼稚	c=1 d=1 t=6287
wo yu 	我与	c=2 d=1 t=27527
wo yu dao 	我遇到	c=3 d=1 t=27186
wo yuan yi 	我愿意	c=7 d=1 t=21137
wo yue lai 	我越来	c=2 d=1 t=17797
wo za 	我咋	c=1 d=1 t=19217
wo zai 	我在	c=23 d=1.00008 t=29908
wo zai bu 	我在不	c=1 d=1 t=24037
wo zai ni 	我在你	c=1 d=1 t=21540
wo zai nu li 	我在努力	c=1 d=1 t=2565
wo zao jiu 	我早就	c=4 d=1 t=27726
wo zen me 	我怎么	c=13 d=1 t=30586
wo zhang da le 	我长大了	c=1 d=1 t=28651
wo zhang hu 	我账户	c=1 d=1 t=12367
wo zhao dao 	我找到	c=1 d=1 t=32303
wo zhao ge 	我找个	c=1 d=1 t=2472
wo zhe 	我这	c=43 d=1.02052 t=31870
wo zhe bei zi 	我这辈子	c=9 d=1 t=31768
wo zhe bu neng chi 	我这不能吃	c=1 d=1 t=15882
wo zhe da suan 	我这打算	c=1 d=1 t=22570
wo zhe ge 	我这个	c=2 d=1 t=24812
wo zhe ge ren 	我这个人	c=6 d=1 t=24656
wo zhe ji nian 	我这几年	c=1 d=1 t=20851
wo zhe me 	我这么	c=2 d=1 t=29268
wo zhe qian 	我这钱	c=1 d=1 t=26042
wo zhe ren 	我这人	c=23 d=1 t=31906
wo zhe ren sheng 	我这人生	c=1 d=1 t=17211
wo zhe xie nian 	我这些年	c=2 d=1 t=25542
wo zhe yang 	我这样	c=4 d=1 t=24898
wo zhe zhong 	我这种	c=6 d=1.01814 t=15666
wo zhen 	我真	c=1 d=1 t=24681
wo zhen bu 	我真不	c=1 d=0.449938 t=14451
wo zhen bu shi 	我真不是	c=1 d=1 t=14452
wo zhen bu xu yao 	我真不需要	c=1 d=1 t=32041
wo zhen de 	我真的	c=15 d=1.00771 t=27540
wo zhen de shi 	我真的是	c=3 d=1.00009 t=16880
wo zhen shi 	我真是	c=3 d=1 t=20524
wo zhen shi ge 	我真是个	c=1 d=1 t=14725
wo zheng 	我正	c=3 d=1.72615 t=30983
wo zheng ge ren 	我整个人	c=1 d=1 t=5133
wo zhi 	我只	c=5 d=1 t=31708
wo zhi dao 	我知道	c=6 d=1 t=31795
wo zhi dao le 	我知道了	c=1 d=1 t=6971
wo zhi hui 	我只会	c=2 d=1 t=31961
wo zhi jin 	我至今	c=1 d=1 t=15336
wo zhi neng 	我只能	c=4 d=1.44933 t=24498
wo zhi neng shuo 	我只能说	c=1 d=1 t=17606
wo zhi shi 	我只是	c=11 d=1 t=31815
wo zhi xiang 	我只想	c=5 d=1.04307 t=22191
wo zhi yao 	我只要	c=9 d=1.00173 t=31416
wo zhi you 	我只有	c=1 d=1 t=925
wo zhi zhao 	我只找	c=1 d=1 t=307
wo zhi zhi dao 	我只知道	c=1 d=1 t=32108
wo zhu ding 	我注定	c=1 d=1 t=30680
wo zhuan 	我转	c=1 d=1 t=11009
wo zhuan le 	我赚了	c=1 d=1 t=27959
wo zhuan qian 	我赚钱	c=1 d=1 t=3548
wo zi ji 	我自己	c=33 d=2.45975 t=31710
wo zi ji de 	我自己的	c=2 d=1 t=11535
wo zi ji lai 	我自己来	c=1 d=1 t=11384
wo zi ji le 	我自己了	c=1 d=1 t=8508
wo zi ran 	我自然	c=3 d=1 t=8834
wo zi ran shi 	我自然是	c=3 d=1 t=29734
wo zong 	我总	c=0 d=0.1 t=13751
wo zong bu neng 	我总不能	c=1 d=1 t=13752
wo zong gui 	我总归	c=1 d=1 t=9288
wo zou 	我走	c=0 d=0.1 t=25339
wo zou bu liao 	我走不了	c=2 d=1.96079 t=25348
wo zou de 	我走的	c=1 d=1 t=18093
wo zou le 	我走了	c=2 d=1 t=11625
wo zui 	我最	c=1 d=0.80822 t=12655
wo zui ai chi 	我最爱吃	c=1 d=1 t=12656
wo zui bu xi huan 	我最不喜欢	c=1 d=1 t=31932
wo zui duo 	我最多	c=1 d=1 t=6051
wo zui hou de 	我最后的	c=1 d=1 t=12114
wo zui jin 	我最近	c=1 d=1 t=10399
wo zui tao yan 	我最讨厌	c=1 d=1 t=27039
wo zui xiao 	我最小	c=1 d=1 t=6180
wo zuo 	我做	c=2 d=1 t=25106
wo zuo bu dao 	我做不到	c=2 d=1 t=17725
wo zuo de 	我做的	c=1 d=0.1 t=12800
wo zuo le 	我做了	c=1 d=1 t=16838
wo zuo shen me 	我做什么	c=2 d=1 t=20617
wu 	五	c=1 d=1 t=10122
wu 	勿	c=1 d=1 t=26001
wu 	无	c=4 d=0.1 t=24545
wu 	武	c=2 d=1 t=8700
wu 	物	c=1 d=1 t=22915
wu 	误	c=1 d=1 t=9343
wu bi 	五笔	c=1 d=0.985112 t=32367
wu de 	武德	c=13 d=1.00006 t=21306
wu fa 	无法	c=31 d=1.03705 t=32130
wu fa jie shou 	无法接受	c=1 d=1 t=13038
wu fa wu tian 	无法无天	c=1 d=1 t=18641
wu fei 	无非	c=1 d=1 t=24764
wu fei jiu shi 	无非就是	c=1 d=1 t=24546
wu gui 	乌龟	c=1 d=1 t=19465
wu hu si hai 	五湖四海	c=1 d=1 t=5315
wu jia 	物价	c=1 d=1 t=16577
wu jin 	五金	c=1 d=1.08511 t=8193
wu jin cheng 	五金城	c=1 d=1 t=8194
wu li 	无力	c=0 d=0.1 t=2812
wu li ke tu 	无力可图	c=1 d=1 t=2813
wu liao 	无聊	c=1 d=1 t=23398
wu lu 	无路	c=2 d=1.03561 t=22081
wu lun 	无论	c=3 d=1 t=22593
wu nai 	无奈	c=3 d=1 t=21903
wu qian 	五千	c=0 d=0.1 t=7063
wu qian kuai 	五千块	c=2 d=1.96561 t=7071
wu qing 	无情	c=3 d=1 t=20408
wu se 	物色	c=1 d=1 t=9575
wu shu 	无数	c=1 d=0.145275 t=20670
wu shu ci 	无数次	c=4 d=1 t=20784
wu shu de ren 	无数的人	c=1 d=1 t=20671
wu suo shi shi 	无所事事	c=1 d=1 t=7865
wu suo wei 	无所谓	c=7 d=1.03321 t=32073
wu yi 	五一	c=1 d=1 t=19248
wu yi 	无意	c=1 d=1 t=14670
wu yong 	无用	c=0 d=0.1 t=3364
wu yong gong 	无用功	c=1 d=1 t=3365
wu yuan 	无缘	c=0 d=0.1 t=17885
wu yuan wu gu 	无缘无故	c=2 d=1.00892 t=9118
wu zhi 	物质	c=1 d=1 t=1130
wu zui 	无罪	c=1 d=1 t=26597
xi 	吸	c=1 d=1 t=19347
xi 	洗	c=2 d=1 t=29012
xi 	系	c=0 d=0.1 t=1374
xi bei 	西北	c=1 d=1 t=12020
xi de 	洗得	c=1 d=1 t=23346
xi guan 	习惯	c=0 d=0.1 t=20705
xi guan le 	习惯了	c=5 d=1 t=31582
xi han 	稀罕	c=1 d=1 t=32237
xi hua 	细化	c=0 d=0.1 t=26060
xi huan 	喜欢	c=49 d=1 t=30648
xi huan de 	喜欢的	c=2 d=1 t=25294
xi jie 	细节	c=2 d=1.00261 t=7824
xi nao 	洗脑	c=4 d=1 t=23345
xi nao wo 	洗脑我	c=1 d=1 t=16037
xi qian 	洗钱	c=2 d=1.91393 t=413
xi qu 	吸取	c=1 d=1 t=6464
xi sheng 	牺牲	c=12 d=1 t=25069
xi sheng ba 	牺牲吧	c=1 d=1 t=1435
xi sheng le 	牺牲了	c=1 d=1 t=7527
xi sheng pin 	牺牲品	c=2 d=1.00009 t=27898
xi tong 	系统	c=3 d=0.1 t=28416
xi tong shang 	系统上	c=1 d=1 t=28417
xi wang 	希望	c=17 d=1.05462 t=31730
xi yi fu 	洗衣服	c=0 d=0.1 t=27279
xi yi fu le 	洗衣服了	c=1 d=1 t=27280
xi yin li 	吸引力	c=2 d=1 t=13921
xi zang 	西藏	c=2 d=1 t=24244
xi zang le 	西藏了	c=2 d=1 t=12107
xia 	下	c=16 d=1.21436 t=30210
xia 	侠	c=1 d=1 t=11151
xia 	吓	c=0 d=0.1 t=15772
xia 	瞎	c=1 d=1 t=7338
xia ban 	下班	c=1 d=1 t=24989
xia bu dao 	吓不到	c=1 d=1 t=15773
xia chang 	下场	c=2 d=1 t=25538
xia di yu 	下地狱	c=2 d=1.00001 t=22213
xia ge yue 	下个月	c=1 d=1 t=28681
xia hu 	吓唬	c=1 d=1 t=1259
xia lai 	下来	c=2 d=1 t=31834
xia lai le 	下来了	c=2 d=1 t=18356
xia le 	下了	c=1 d=1 t=22480
xia men 	厦门	c=1 d=1 t=5338
xia pao 	吓跑	c=2 d=1 t=27154
xia qu 	下去	c=12 d=1.26185 t=29778
xia qu de 	下去的	c=1 d=1 t=25686
xia ri 	夏日	c=1 d=1 t=8192
xia shou 	下手	c=2 d=1 t=10074
xia shu 	下属	c=5 d=1.55156 t=23537
xia shuo 	瞎说	c=1 d=1 t=26632
xia wu 	下午	c=3 d=1 t=28496
xia xian 	下线	c=1 d=1 t=3829
xia xie 	瞎写	c=1 d=1 t=7622
xia yi ge 	下一个	c=3 d=1.0382 t=6720
xia zai 	下载	c=4 d=1 t=25408
xia zhou 	下周	c=1 d=1 t=22708
xia zi 	瞎子	c=9 d=1 t=32208
xia zou 	吓走	c=1 d=1.09005 t=4304
xian 	先	c=15 d=1.00245 t=29959
xian 	县	c=1 d=1 t=18954
xian 	线	c=2 d=1.95123 t=29646
xian 	闲	c=47 d=1 t=31369
xian cheng 	县城	c=2 d=1 t=10860
xian de 	闲得	c=1 d=1 t=20812
xian e 	限额	c=2 d=1.68045 t=26504
xian guo 	先过	c=1 d=1 t=5640
xian hai 	陷害	c=1 d=1 t=6022
xian jin 	现金	c=4 d=1.98527 t=28274
xian lai 	先来	c=2 d=1.98511 t=25585
xian lu 	线路	c=3 d=1.08629 t=28668
xian mu 	羡慕	c=2 d=0.1 t=20597
xian mu bu lai 	羡慕不来	c=1 d=1 t=20598
xian mu wo 	羡慕我	c=1 d=1 t=9202
xian qi 	闲妻	c=4 d=2.12189 t=10102
xian ran 	显然	c=5 d=0.1 t=30296
xian ran shi 	显然是	c=1 d=1 t=30297
xian rang 	先让	c=1 d=1 t=5218
xian shi 	现实	c=14 d=1.00317 t=26592
xian suo 	线索	c=3 d=1 t=27272
xian xiang 	现象	c=1 d=1 t=29793
xian you 	现有	c=1 d=1 t=29644
xian yu 	咸鱼	c=4 d=1 t=10222
xian zai 	现在	c=51 d=2.01544 t=28247
xian zai de ren 	现在的人	c=1 d=1 t=26832
xian zhi 	限制	c=6 d=1 t=29148
xiang 	像	c=23 d=1.00005 t=30212
xiang 	向	c=1 d=1 t=28135
xiang 	想	c=76 d=1.86144 t=32367
xiang 	相	c=0 d=0.0995012 t=32367
xiang 	象	c=2 d=1 t=23148
xiang 	香	c=2 d=1 t=27979
xiang ai 	相爱	c=0 d=0.1 t=28966
xiang ban fa 	想办法	c=8 d=1 t=20977
xiang bu qi lai 	想不起来	c=2 d=1 t=11476
xiang bu xiang 	想不想	c=1 d=1 t=24772
xiang chu 	想出	c=1 d=1 t=26457
xiang chu 	相处	c=9 d=1 t=10872
xiang cong 	想从	c=0 d=0.1 t=13549
xiang cong wo 	想从我	c=1 d=1 t=13550
xiang dang 	想当	c=1 d=1 t=9258
xiang dang 	相当	c=1 d=1 t=17463
xiang dang yu 	相当于	c=1 d=0.228093 t=4132
xiang dao 	想到	c=1 d=1 t=19519
xiang de 	想得	c=1 d=1 t=6875
xiang de dao 	想得到	c=1 d=1 t=18063
xiang fa 	想法	c=12 d=1 t=31276
xiang fan 	相反	c=3 d=1 t=22812
xiang gang 	香港	c=3 d=1.05208 t=28772
xiang ge 	像个	c=3 d=0.1 t=25171
xiang ge 	想个	c=2 d=1.24293 t=2767
xiang gei 	想给	c=1 d=1 t=15225
xiang gu 	香菇	c=1 d=1 t=21044
xiang guo 	想过	c=5 d=1 t=26998
xiang hao 	想好	c=0 d=0.1 t=1281
xiang hao le 	想好了	c=2 d=1 t=10983
xiang huo 	想活	c=2 d=1 t=12986
xiang lai 	向来	c=1 d=1 t=17360
xiang le xiang 	想了想	c=1 d=1 t=29056
xiang ming bai 	想明白	c=2 d=0.867206 t=23324
xiang ming bai le 	想明白了	c=1 d=1 t=23325
xiang mu 	项目	c=8 d=2.58116 t=27565
xiang mu shu 	项目术	c=1 d=1 t=9980
xiang nian 	想念	c=1 d=1 t=5525
xiang pao 	想跑	c=1 d=1 t=15082
xiang qi 	想起	c=2 d=2.00377 t=13301
xiang qi lai 	想起来	c=3 d=1 t=31962
xiang qi le 	想起了	c=1 d=1 t=13013
xiang qian 	向前	c=2 d=1.06925 t=22829
xiang qin 	相亲	c=2 d=0.1 t=28966
xiang qin xiang ai 	相亲相爱	c=1 d=1 t=28967
xiang qing 	详情	c=1 d=1 t=29422
xiang qu 	想去	c=1 d=1 t=5306
xiang shi 	像是	c=2 d=1 t=26855
xiang shi 	相识	c=0 d=0.1 t=8828
xiang shi yi chang 	相识一场	c=1 d=1 t=8829
xiang shou 	享受	c=13 d=1.13321 t=31627
xiang shuo 	想说	c=1 d=1 t=24029
xiang si 	想死	c=1 d=0.1 t=9656
xiang tai duo 	想太多	c=3 d=1 t=10541
xiang tai duo le 	想太多了	c=1 d=1 t=6611
xiang ting 	想听	c=2 d=1.0802 t=32175
xiang ting de 	想听的	c=1 d=1 t=32176
xiang wo 	像我	c=3 d=1.91851 t=21088
xiang xiang 	想想	c=28 d=1 t=31910
xiang xiang 	香香	c=3 d=0.99005 t=32367
xiang xiang ban fa 	想想办法	c=1 d=1 t=4899
xiang xiao 	想笑	c=1 d=1 t=2289
xiang xin 	相信	c=18 d=1.00001 t=31709
xiang xue 	想学	c=1 d=1 t=18551
xiang yao 	想要	c=26 d=1.19593 t=32179
xiang yao de 	想要的	c=2 d=1 t=26125
xiang yu 	相遇	c=0 d=0.1 t=25235
xiang zen me 	想怎么	c=1 d=1 t=28092
xiang zhe 	想着	c=5 d=1 t=26992
xiang zheng 	象征	c=2 d=1.21438 t=27036
xiang zou 	想走	c=0 d=0.1 t=13415
xiang zuo 	想做	c=2 d=1 t=29354
xiang zuo de 	想做的	c=1 d=1 t=1186
xiang zuo dian 	想做点	c=1 d=1 t=15272
xiao 	小	c=6 d=1 t=28648
xiao 	笑	c=1 d=1 t=30199
xiao bao 	小宝	c=2 d=1 t=18834
xiao chen 	消沉	c=2 d=1 t=22817
xiao cou si ye 	小凑四叶	c=1 d=1 t=12240
xiao di fang 	小地方	c=1 d=1 t=10861
xiao duan 	小段	c=0 d=0.1 t=6766
xiao fei 	消费	c=0 d=0.1 t=31822
xiao gong zhu 	小公主	c=3 d=1 t=11799
xiao gu niang 	小姑娘	c=1 d=1 t=13414
xiao hu li 	小狐狸	c=1 d=1 t=31330
xiao hua 	消化	c=3 d=1 t=28616
xiao ji 	小鸡	c=1 d=1 t=27349
xiao lv 	效率	c=1 d=1 t=23604
xiao ming 	小命	c=1 d=1 t=19209
xiao qian 	小钱	c=1 d=1 t=20753
xiao sa 	潇洒	c=9 d=1.02709 t=31818
xiao san 	小三	c=1 d=1 t=27788
xiao shi 	小时	c=3 d=1.14515 t=13633
xiao shi hou 	小时候	c=3 d=1 t=21488
xiao shi hou de 	小时候的	c=1 d=1 t=1423
xiao shou 	销售	c=1 d=1 t=10509
xiao shun 	孝顺	c=1 d=1 t=15376
xiao shuo 	小说	c=3 d=1.82283 t=19406
xiao si 	笑死	c=2 d=1 t=28420
xiao xi 	消息	c=5 d=1 t=26621
xiao xian cheng 	小县城	c=1 d=1 t=7420
xiao yan 	消炎	c=2 d=1 t=24894
xiao yan yao 	消炎药	c=1 d=1 t=31811
xiao ying 	效应	c=1 d=1 t=2682
xiao zai 	消灾	c=0 d=0.1 t=27482
xiao zhang 	嚣张	c=1 d=1.09465 t=4293
xiao zhen 	小镇	c=1 d=1 t=18362
xie 	些	c=14 d=1.0534 t=31263
xie 	写	c=9 d=1.98511 t=21096
xie bu liao 	写不了	c=2 d=1.96561 t=3264
xie de 	写得	c=1 d=1 t=10305
xie de 	写的	c=1 d=1 t=7533
xie hao 	写好	c=0 d=0.1 t=26236
xie hao le 	写好了	c=1 d=1 t=26237
xie le 	写了	c=3 d=1 t=27268
xie xie 	写写	c=4 d=1 t=17547
xie xie 	谢谢	c=2 d=0.226186 t=17962
xie xie ni 	谢谢你	c=1 d=1 t=17963
xie yi 	协议	c=2 d=1.90032 t=6935
xin 	信	c=6 d=1.07101 t=27059
xin 	心	c=5 d=1.02237 t=26753
xin 	新	c=0 d=0.0955997 t=32367
xin 	鑫	c=1 d=1 t=21309
xin biao qian ye 	新标签页	c=1 d=0.960789 t=32367
xin bu xin 	信不信	c=1 d=1 t=23505
xin de 	新的	c=4 d=1.00028 t=17167
xin di 	心地	c=1 d=1 t=5502
xin gan qing yuan 	心甘情愿	c=2 d=1 t=31477
xin hui 	心会	c=1 d=1 t=13218
xin jia po 	新加坡	c=1 d=1 t=5145
xin ku 	辛苦	c=5 d=0.685038 t=31743
xin ku de 	辛苦的	c=1 d=1 t=10323
